%	PCR_Read	16	512	1024
1%	2.2	22.245	42.205	47.175	
2%	2.21	1.655	13.6	16.02	
3%	2.205	1.675	3.11	10.09	
4%	2.145	1.66	2.67	3.375	
5%	2.205	1.66	2.65	2.72	
6%	2.195	1.66	2.685	2.73	
7%	2.195	1.665	2.64	2.735	
8%	2.195	1.67	2.66	2.73	
9%	2.19	1.655	2.665	2.745	
10%	2.2	1.66	2.645	2.73	
