%	PCR_Read	16	512	1024
1%	2.46	22.86	48.31	43.23
2%	2.2	1.655	12.575	16.435
3%	2.215	1.66	3.295	10.005
4%	2.205	1.64	2.64	4.02
5%	2.23	1.665	2.645	2.835
6%	2.215	1.64	2.645	2.725
7%	2.215	1.65	2.62	2.745
8%	2.205	1.665	2.645	2.74
9%	2.215	1.665	2.66	2.72
10%	2.205	1.66	2.645	2.755
